subj,exp,item,condition,order,clauseType,constituent,position,word,Q,RT,logW,logWCD,Wlength,Nstrokes
1,e2,1,a,TSV,RC,DCL,0,这项,-,367,2.44,2.37,2,16
1,e2,5,a,TSV,RC,DCL,0,这款,-,1029,3.63,3.63,2,19
1,e2,9,a,TSV,RC,DCL,0,这套,-,351,3.64,3.64,2,17
1,e2,13,a,TSV,RC,DCL,0,这次,-,341,3.55,3.36,2,13
1,e2,17,a,TSV,RC,DCL,0,这种,-,370,4.16,3.69,2,16
1,e2,21,a,TSV,RC,DCL,0,这款,-,431,3.63,3.63,2,19
2,e2,4,a,TSV,RC,DCL,0,这门,-,451,3.64,3.64,2,10
2,e2,8,a,TSV,RC,DCL,0,这种,-,366,4.16,3.69,2,16
2,e2,12,a,TSV,RC,DCL,0,这支,-,486,3.64,3.64,2,11
2,e2,16,a,TSV,RC,DCL,0,这个,-,461,4.96,3.79,2,10
2,e2,20,a,TSV,RC,DCL,0,这种,-,387,4.16,3.69,2,16
2,e2,24,a,TSV,RC,DCL,0,这款,-,550,3.63,3.63,2,19
3,e2,3,a,TSV,RC,DCL,0,这项,-,316,2.44,2.37,2,16
3,e2,7,a,TSV,RC,DCL,0,这种,-,635,4.16,3.69,2,16
3,e2,11,a,TSV,RC,DCL,0,这种,-,256,4.16,3.69,2,16
3,e2,15,a,TSV,RC,DCL,0,这类,-,451,3.63,3.63,2,16
3,e2,19,a,TSV,RC,DCL,0,这类,-,356,3.63,3.63,2,16
3,e2,23,a,TSV,RC,DCL,0,这款,-,331,3.63,3.63,2,19
4,e2,2,a,TSV,RC,DCL,0,这项,-,297,2.44,2.37,2,16
4,e2,6,a,TSV,RC,DCL,0,这个,-,311,4.96,3.79,2,10
4,e2,10,a,TSV,RC,DCL,0,这项,-,211,2.44,2.37,2,16
4,e2,14,a,TSV,RC,DCL,0,这种,-,411,4.16,3.69,2,16
4,e2,18,a,TSV,RC,DCL,0,这种,-,262,4.16,3.69,2,16
4,e2,22,a,TSV,RC,DCL,0,这项,-,1965,2.44,2.37,2,16
5,e2,1,a,TSV,RC,DCL,0,这项,-,356,2.44,2.37,2,16
5,e2,5,a,TSV,RC,DCL,0,这款,-,366,3.63,3.63,2,19
5,e2,9,a,TSV,RC,DCL,0,这套,-,555,3.64,3.64,2,17
5,e2,13,a,TSV,RC,DCL,0,这次,-,386,3.55,3.36,2,13
5,e2,17,a,TSV,RC,DCL,0,这种,-,356,4.16,3.69,2,16
5,e2,21,a,TSV,RC,DCL,0,这款,-,475,3.63,3.63,2,19
6,e2,4,a,TSV,RC,DCL,0,这门,-,331,3.64,3.64,2,10
6,e2,8,a,TSV,RC,DCL,0,这种,-,252,4.16,3.69,2,16
6,e2,12,a,TSV,RC,DCL,0,这支,-,221,3.64,3.64,2,11
6,e2,16,a,TSV,RC,DCL,0,这个,-,252,4.96,3.79,2,10
6,e2,20,a,TSV,RC,DCL,0,这种,-,301,4.16,3.69,2,16
6,e2,24,a,TSV,RC,DCL,0,这款,-,282,3.63,3.63,2,19
7,e2,3,a,TSV,RC,DCL,0,这项,-,346,2.44,2.37,2,16
7,e2,7,a,TSV,RC,DCL,0,这种,-,635,4.16,3.69,2,16
7,e2,11,a,TSV,RC,DCL,0,这种,-,391,4.16,3.69,2,16
7,e2,15,a,TSV,RC,DCL,0,这类,-,410,3.63,3.63,2,16
7,e2,19,a,TSV,RC,DCL,0,这类,-,317,3.63,3.63,2,16
7,e2,23,a,TSV,RC,DCL,0,这款,-,436,3.63,3.63,2,19
8,e2,2,a,TSV,RC,DCL,0,这项,-,251,2.44,2.37,2,16
8,e2,6,a,TSV,RC,DCL,0,这个,-,351,4.96,3.79,2,10
8,e2,10,a,TSV,RC,DCL,0,这项,-,231,2.44,2.37,2,16
8,e2,14,a,TSV,RC,DCL,0,这种,-,311,4.16,3.69,2,16
8,e2,18,a,TSV,RC,DCL,0,这种,-,352,4.16,3.69,2,16
8,e2,22,a,TSV,RC,DCL,0,这项,-,312,2.44,2.37,2,16
9,e2,1,a,TSV,RC,DCL,0,这项,-,401,2.44,2.37,2,16
9,e2,5,a,TSV,RC,DCL,0,这款,-,396,3.63,3.63,2,19
9,e2,9,a,TSV,RC,DCL,0,这套,-,356,3.64,3.64,2,17
9,e2,13,a,TSV,RC,DCL,0,这次,-,660,3.55,3.36,2,13
9,e2,17,a,TSV,RC,DCL,0,这种,-,555,4.16,3.69,2,16
9,e2,21,a,TSV,RC,DCL,0,这款,-,251,3.63,3.63,2,19
10,e2,4,a,TSV,RC,DCL,0,这门,-,401,3.64,3.64,2,10
10,e2,8,a,TSV,RC,DCL,0,这种,-,919,4.16,3.69,2,16
10,e2,12,a,TSV,RC,DCL,0,这支,-,371,3.64,3.64,2,11
10,e2,16,a,TSV,RC,DCL,0,这个,-,599,4.96,3.79,2,10
10,e2,20,a,TSV,RC,DCL,0,这种,-,386,4.16,3.69,2,16
10,e2,24,a,TSV,RC,DCL,0,这款,-,362,3.63,3.63,2,19
11,e2,3,a,TSV,RC,DCL,0,这项,-,585,2.44,2.37,2,16
11,e2,7,a,TSV,RC,DCL,0,这种,-,575,4.16,3.69,2,16
11,e2,11,a,TSV,RC,DCL,0,这种,-,565,4.16,3.69,2,16
11,e2,15,a,TSV,RC,DCL,0,这类,-,536,3.63,3.63,2,16
11,e2,19,a,TSV,RC,DCL,0,这类,-,387,3.63,3.63,2,16
11,e2,23,a,TSV,RC,DCL,0,这款,-,267,3.63,3.63,2,19
12,e2,2,a,TSV,RC,DCL,0,这项,-,366,2.44,2.37,2,16
