subj,type,item,condition,order,region,word,position,RT,logW,Wlength,Nstrokes
1,F2,11,a,TSV,0,那套,d1,361,3.46,2,16
1,F2,11,a,TSV,1,衣服,np,329,3.91,2,14
1,F2,11,a,TSV,2,好像,adv1,215,4.05,2,19
1,F2,11,a,TSV,3,几位,d2,324,2.76,2,9
1,F2,11,a,TSV,4,姑娘,na,579,3.58,2,18
1,F2,11,a,TSV,5,都,adv2,433,5.25,1,10
1,F2,11,a,TSV,6,买了,v,388,4.16,2,8
1,F2,11,a,TSV,7,却,-,361,4.13,1,7
1,F2,11,a,TSV,8,不敢穿。,-,690,3.85,3,24
1,F2,11,a,TSV,?,N,1,2009,,,
1,F2,10,b,SVO,0,差不多,adv1,445,3.52,3,19
1,F2,10,b,SVO,1,各国,d2,319,1.83,2,14
1,F2,10,b,SVO,2,华人,na,244,1.42,2,8
1,F2,10,b,SVO,3,都,adv2,526,5.25,1,10
1,F2,10,b,SVO,4,会看,v,320,3.74,2,15
1,F2,10,b,SVO,5,春节,d1,371,0.78,2,14
1,F2,10,b,SVO,6,晚会,np,355,2.82,2,17
1,F2,10,b,SVO,7,而且,-,244,4.29,2,11
1,F2,10,b,SVO,8,会评论。,-,576,3.6,3,19
1,F2,10,b,SVO,?,Y,1,2546,,,
1,F2,12,b,SVO,0,好像,adv1,297,4.05,2,19
1,F2,12,b,SVO,1,班上,d2,306,3.24,2,13
1,F2,12,b,SVO,2,小朋友,na,1204,2.66,3,15
1,F2,12,b,SVO,3,都,adv2,817,5.25,1,10
1,F2,12,b,SVO,4,吃过,v,361,3.32,2,12
1,F2,12,b,SVO,5,那种,d1,295,3.6,2,15
1,F2,12,b,SVO,6,饼干,np,511,3.03,2,12
1,F2,12,b,SVO,7,许多,-,440,3.3,2,12
1,F2,12,b,SVO,8,次了。,-,633,4.17,2,8
1,F2,12,b,SVO,?,Y,1,1136,,,
1,F2,9,a,TSV,0,那台,d1,437,3.46,2,11
1,F2,9,a,TSV,1,电脑,np,544,3.51,2,15
1,F2,9,a,TSV,2,大概,adv1,716,3.68,2,16
1,F2,9,a,TSV,3,很多,d2,371,4.17,2,15
1,F2,9,a,TSV,4,青年,na,564,2.51,2,14
1,F2,9,a,TSV,5,都,adv2,377,5.25,1,10
1,F2,9,a,TSV,6,喜欢,v,287,4.66,2,18
1,F2,9,a,TSV,7,而且,-,243,4.29,2,11
1,F2,9,a,TSV,8,会用。,-,468,3.68,2,11
1,F2,9,a,TSV,?,N,1,2069,,,
1,F2,15,a,TSV,0,那份,d1,443,3.47,2,12
1,F2,15,a,TSV,1,工作,np,443,4.48,2,10
1,F2,15,a,TSV,2,肯定,adv1,401,4.27,2,16
1,F2,15,a,TSV,3,几位,d2,458,2.76,2,9
1,F2,15,a,TSV,4,求职者,na,655,0.48,3,26
1,F2,15,a,TSV,5,都,adv2,368,5.25,1,10
1,F2,15,a,TSV,6,想要,v,350,3.83,2,22
1,F2,15,a,TSV,7,但是,-,379,4.72,2,16
1,F2,15,a,TSV,8,都没,-,408,3.7,2,17
1,F2,15,a,TSV,9,得到。,-,449,4.05,2,19
1,F2,15,a,TSV,?,N,1,1613,,,
1,F2,5,a,TSV,0,这种,d1,624,4.16,2,16
1,F2,5,a,TSV,1,活动,np,923,3.45,2,15
1,F2,5,a,TSV,2,似乎,adv1,483,3.5,2,11
1,F2,5,a,TSV,3,不少,d2,449,3.29,2,8
1,F2,5,a,TSV,4,学者,na,804,2.27,2,16
1,F2,5,a,TSV,5,都,adv2,437,5.25,1,10
1,F2,5,a,TSV,6,厌恶,v,452,2.61,2,16
1,F2,5,a,TSV,7,却,-,387,4.13,1,7
1,F2,5,a,TSV,8,还得,-,317,3.55,2,18
1,F2,5,a,TSV,9,参加。,-,390,3.91,2,13
1,F2,5,a,TSV,?,Y,1,1340,,,
1,F2,7,a,TSV,0,那个,d1,301,4.62,2,9
1,F2,7,a,TSV,1,城市,np,473,3.52,2,14
1,F2,7,a,TSV,2,或许,adv1,583,3.92,2,14
1,F2,7,a,TSV,3,几位,d2,1042,2.76,2,9
1,F2,7,a,TSV,4,同事,na,273,3.14,2,14
1,F2,7,a,TSV,5,都,adv2,375,5.25,1,10
1,F2,7,a,TSV,6,去过,v,273,3.61,2,11
