subj,exp,item,condition,order,clauseType,position,word,Q,RT,logW,logWCD,Wlength,Nstrokes
1,e4,1,a,TSV,RC,0,这项,-,437,2.44,2.37,2,16
1,e4,1,a,TSV,RC,1,极限,-,506,2.47,2.37,2,15
1,e4,1,a,TSV,RC,2,运动,-,509,3.28,3.04,2,13
1,e4,1,a,TSV,RC,3,敢于,-,439,1.93,1.89,2,14
1,e4,1,a,TSV,RC,4,参加,-,514,3.91,3.5,2,13
1,e4,1,a,TSV,RC,5,的,-,531,6.23,3.8,1,8
1,e4,1,a,TSV,RC,6,人,-,474,5.29,3.8,1,2
1,e4,1,a,TSV,RC,7,通常,-,2335,3.36,3.22,2,21
1,e4,1,a,TSV,RC,8,都,-,416,5.25,3.8,1,10
1,e4,1,a,TSV,RC,9,敢于,-,485,5.25,3.8,1,10
1,e4,1,a,TSV,RC,10,冒险,-,435,3.25,3.08,2,18
1,e4,1,a,TSV,RC,11,而且,-,422,4.29,3.71,2,11
1,e4,1,a,TSV,RC,12,玩得,-,429,3.25,3.25,2,19
1,e4,1,a,TSV,RC,13,尽兴。,-,552,2.1,2.05,2,12
1,e4,1,a,TSV,RC,?,Y,1,2047,,,,
1,e4,2,b,SVO,RC,0,喜爱,-,415,2.68,2.58,2,22
1,e4,2,b,SVO,RC,1,参观,-,392,2.68,2.54,2,14
1,e4,2,b,SVO,RC,2,这项,-,466,2.44,2.37,2,16
1,e4,2,b,SVO,RC,3,创意,-,454,2.77,2.53,2,19
1,e4,2,b,SVO,RC,4,展览,-,494,2.4,2.2,2,19
1,e4,2,b,SVO,RC,5,的,-,577,6.23,3.8,1,8
1,e4,2,b,SVO,RC,6,人,-,410,5.29,3.8,1,2
1,e4,2,b,SVO,RC,7,大多,-,412,2.31,2.27,2,9
1,e4,2,b,SVO,RC,8,都,-,448,5.25,3.8,1,10
1,e4,2,b,SVO,RC,9,喜爱,-,447,2.68,2.58,2,22
1,e4,2,b,SVO,RC,10,艺术,-,523,3.16,2.91,2,9
1,e4,2,b,SVO,RC,11,而且,-,469,4.29,3.71,2,11
1,e4,2,b,SVO,RC,12,痴迷,-,455,2.17,2.16,2,22
1,e4,2,b,SVO,RC,13,时尚。,-,2526,3.05,2.65,2,15
1,e4,2,b,SVO,RC,?,Y,1,1558,,,,
1,e4,3,c,TSV,MC,0,这项,-,403,2.44,2.37,2,16
1,e4,3,c,TSV,MC,1,新锐,-,493,0.6,0.6,2,25
1,e4,3,c,TSV,MC,2,计划,-,486,3.96,3.53,2,10
1,e4,3,c,TSV,MC,3,同意,-,430,3.76,3.46,2,19
1,e4,3,c,TSV,MC,4,新政,-,450,0.9,0.9,2,22
1,e4,3,c,TSV,MC,5,的,-,555,6.23,3.8,1,8
1,e4,3,c,TSV,MC,6,人,-,416,5.29,3.8,1,2
1,e4,3,c,TSV,MC,7,通常,-,3511,3.36,3.22,2,21
1,e4,3,c,TSV,MC,8,都,-,453,5.25,3.8,1,10
1,e4,3,c,TSV,MC,9,同意,-,427,3.76,3.46,2,19
1,e4,3,c,TSV,MC,10,实施,-,498,2.62,2.53,2,17
1,e4,3,c,TSV,MC,11,而且,-,513,4.29,3.71,2,11
1,e4,3,c,TSV,MC,12,坚信,-,406,2.6,2.52,2,16
1,e4,3,c,TSV,MC,13,有益。,-,563,2.23,2.21,2,16
1,e4,3,c,TSV,MC,?,N,1,1861,,,,
1,e4,4,a,TSV,RC,0,这门,-,485,3.64,3.64,2,10
1,e4,4,a,TSV,RC,1,古老,-,623,2.78,2.63,2,11
1,e4,4,a,TSV,RC,2,手艺,-,521,2.12,2.07,2,8
1,e4,4,a,TSV,RC,3,厌倦,-,914,2.87,2.76,2,16
1,e4,4,a,TSV,RC,4,学习,-,458,3.38,3.14,2,11
1,e4,4,a,TSV,RC,5,的,-,459,6.23,3.8,1,8
1,e4,4,a,TSV,RC,6,人,-,390,5.29,3.8,1,2
1,e4,4,a,TSV,RC,7,大多,-,510,2.31,2.27,2,9
1,e4,4,a,TSV,RC,8,都,-,412,5.25,3.8,1,10
1,e4,4,a,TSV,RC,9,厌倦,-,468,2.87,2.76,2,16
1,e4,4,a,TSV,RC,10,传统,-,493,3.1,2.93,2,15
1,e4,4,a,TSV,RC,11,而且,-,3613,4.29,3.71,2,11
1,e4,4,a,TSV,RC,12,难守,-,340,2.24,2.24,2,16
1,e4,4,a,TSV,RC,13,初心。,-,468,2.17,2.17,2,11
1,e4,4,a,TSV,RC,?,Y,1,2291,,,,
1,e4,5,b,SVO,RC,0,习惯,-,873,3.35,3.21,2,14
1,e4,5,b,SVO,RC,1,饮用,-,793,1.49,1.36,2,12
1,e4,5,b,SVO,RC,2,这款,-,739,3.63,3.63,2,19
1,e4,5,b,SVO,RC,3,草药,-,551,1.99,1.81,2,18
1,e4,5,b,SVO,RC,4,饮料,-,557,2.97,2.82,2,17
1,e4,5,b,SVO,RC,5,的,-,920,6.23,3.8,1,8
1,e4,5,b,SVO,RC,6,人,-,484,5.29,3.8,1,2
1,e4,5,b,SVO,RC,7,通常,-,1087,3.36,3.22,2,21
1,e4,5,b,SVO,RC,8,都,-,634,5.25,3.8,1,10
1,e4,5,b,SVO,RC,9,习惯,-,594,3.35,3.21,2,14
1,e4,5,b,SVO,RC,10,凉茶,-,568,1.4,1.4,2,19
1,e4,5,b,SVO,RC,11,因为,-,507,4.78,3.79,2,10
1,e4,5,b,SVO,RC,12,偏好,-,507,1.71,1.66,2,17
1,e4,5,b,SVO,RC,13,苦味。,-,557,0.48,0.48,2,16
1,e4,5,b,SVO,RC,?,Y,1,2567,,,,
1,e4,6,c,TSV,MC,0,这个,-,503,4.96,3.79,2,10
1,e4,6,c,TSV,MC,1,合资,-,556,0.85,0.78,2,16
1,e4,6,c,TSV,MC,2,项目,-,726,3.25,2.88,2,14
1,e4,6,c,TSV,MC,3,期待,-,666,3.24,3.09,2,21
1,e4,6,c,TSV,MC,4,共赢,-,470,2.17,2.17,2,23
1,e4,6,c,TSV,MC,5,的,-,491,6.23,3.8,1,8
1,e4,6,c,TSV,MC,6,人,-,478,5.29,3.8,1,2
